Model,Metric,Mean,Std
GRAPHSAGE,accuracy_within_10pct,0.733275,0.035544
GRAPHSAGE,accuracy_within_15pct,0.8627,0.027586
GRAPHSAGE,accuracy_within_5pct,0.559225,0.028023
GRAPHSAGE,high_risk_mae,0.044917,0.00292
GRAPHSAGE,high_risk_underpredict_rate,0.485827,0.079357
GRAPHSAGE,loss,45.129809,3.179244
GRAPHSAGE,low_risk_mae,0.046008,0.001935
GRAPHSAGE,mae,1.446301,0.095632
GRAPHSAGE,mean_bias,0.035457,0.00602
GRAPHSAGE,mean_ground_truth,0.457889,0.0
GRAPHSAGE,mean_overpredict_error,0.07457,0.008461
GRAPHSAGE,mean_prediction,0.493346,0.00602
GRAPHSAGE,mean_underpredict_error,0.055734,0.006644
GRAPHSAGE,mse,13.335851,1.701911
GRAPHSAGE,overpredict_rate,0.683675,0.066037
GRAPHSAGE,p50_error,0.034355,0.005348
GRAPHSAGE,p95_error,0.212712,0.011307
GRAPHSAGE,p99_error,0.390681,0.01961
GRAPHSAGE,r2_score,0.601258,0.050887
GRAPHSAGE,rmse,3.64466,0.2287
GRAPHSAGE,underpredict_rate,0.27835,0.035707
GCN,accuracy_within_10pct,0.7011,0.03231
GCN,accuracy_within_15pct,0.83955,0.034633
GCN,accuracy_within_5pct,0.543025,0.022794
GCN,high_risk_mae,0.054272,0.005431
GCN,high_risk_underpredict_rate,0.447916,0.012322
GCN,loss,46.788462,1.640031
GCN,low_risk_mae,0.045533,0.005342
GCN,mae,1.489189,0.031257
GCN,mean_bias,0.040411,0.007855
GCN,mean_ground_truth,0.457889,0.0
GCN,mean_overpredict_error,0.076626,0.008802
GCN,mean_prediction,0.498299,0.007855
GCN,mean_underpredict_error,0.059168,0.004121
GCN,mse,13.805514,0.164007
GCN,overpredict_rate,0.733075,0.009515
GCN,p50_error,0.037307,0.005493
GCN,p95_error,0.232463,0.018146
GCN,p99_error,0.422208,0.014669
GCN,r2_score,0.587215,0.004904
GCN,rmse,3.715512,0.022002
GCN,underpredict_rate,0.266925,0.009515
GAT,accuracy_within_10pct,0.741575,0.052622
GAT,accuracy_within_15pct,0.866,0.041092
GAT,accuracy_within_5pct,0.57105,0.034932
GAT,high_risk_mae,0.05329,0.002588
GAT,high_risk_underpredict_rate,0.455638,0.041921
GAT,loss,47.039568,1.356001
GAT,low_risk_mae,0.042797,0.003838
GAT,mae,1.488241,0.033915
GAT,mean_bias,0.031854,0.013866
GAT,mean_ground_truth,0.457889,0.0
GAT,mean_overpredict_error,0.067614,0.013145
GAT,mean_prediction,0.489743,0.013866
GAT,mean_underpredict_error,0.060242,0.00814
GAT,mse,14.182467,0.548334
GAT,overpredict_rate,0.7191,0.025341
GAT,p50_error,0.032121,0.007019
GAT,p95_error,0.21687,0.01868
GAT,p99_error,0.415527,0.010845
GAT,r2_score,0.575944,0.016395
GAT,rmse,3.765267,0.072303
GAT,underpredict_rate,0.2809,0.025341
